gene_A	gene_B	type_A	type_B
ALOX5AP	FPR2	L	R
LTC4S	FPR2	L	R
ALOX5	OXER1	L	R
ALOX5AP	OXER1	L	R
LTC4S	OXER1	L	R
LTA4H	GPR17	L	R
LTA4H	LTB4R	L	R
LTA4H	LTB4R2	L	R
PNMT	ADRB2	L	R
PNMT	ADRB1	L	R
PNMT	ADRA2A	L	R
PNMT	ADRB3	L	R
PNMT	ADRA2B	L	R
PNMT	ADRA2C	L	R
PNMT	ADRA1D	L	R
PNMT	ADRA1A	L	R
PNMT	ADRA1B	L	R
CYP19A1	NR1I2	L	R
CYP19A1	ESR1	L	R
CYP19A1	ESR2	L	R
CYP19A1	GPER1	L	R
HSD3B1	CATSPER4	L	R
HSD3B1	CATSPERD	L	R
HSD3B1	CATSPERB	L	R
HSD3B1	CATSPER3	L	R
HSD3B1	CATSPER1	L	R
HSD3B1	CATSPER2	L	R
HSD17B1	NR1I2	L	R
HSD17B1	ESR1	L	R
HSD17B1	ESR2	L	R
HSD17B1	GPER1	L	R
TYR	GPR143	L	R
IL1R1	MYD88	L	R
IL1RAP	MYD88	L	R
AKR1B1	PTGFR	L	R
CYP11B1	NR3C1	L	R
CYP11B1	NR3C2	L	R
CBR1	PTGFR	L	R
DPEP1	CYSLTR2	L	R
DPEP1	CYSLTR1	L	R
SLC6A4	HTR3A	L	R
SLC6A4	HTR3B	L	R
SLC6A4	HTR3C	L	R
SLC6A4	HTR3D	L	R
SLC6A4	HTR3E	L	R
TPH1	HTR3A	L	R
TPH1	HTR3B	L	R
TPH1	HTR3C	L	R
TPH1	HTR3D	L	R
TPH1	HTR3E	L	R
SLC6A4	HTR1A	L	R
TPH1	HTR1A	L	R
SLC6A4	HTR1D	L	R
TPH1	HTR1D	L	R
SLC6A4	HTR1B	L	R
TPH1	HTR1B	L	R
SLC6A4	HTR2A	L	R
TPH1	HTR2A	L	R
SLC6A4	HTR2C	L	R
TPH1	HTR2C	L	R
SLC6A4	HTR1E	L	R
TPH1	HTR1E	L	R
SLC6A4	HTR1F	L	R
TPH1	HTR1F	L	R
SLC6A4	HTR7	L	R
TPH1	HTR7	L	R
SLC6A4	HTR2B	L	R
TPH1	HTR2B	L	R
SLC6A4	HTR5A	L	R
TPH1	HTR5A	L	R
SLC6A4	HTR6	L	R
TPH1	HTR6	L	R
SLC6A4	HTR4	L	R
TPH1	HTR4	L	R
SLC18A1	HTR3A	L	R
SLC18A1	HTR3B	L	R
SLC18A1	HTR3C	L	R
SLC18A1	HTR3D	L	R
SLC18A1	HTR3E	L	R
SLC18A1	HTR1A	L	R
SLC18A1	HTR1D	L	R
SLC18A1	HTR1B	L	R
SLC18A1	HTR2A	L	R
SLC18A1	HTR2C	L	R
SLC18A1	HTR1E	L	R
SLC18A1	HTR1F	L	R
SLC18A1	HTR7	L	R
SLC18A1	HTR2B	L	R
SLC18A1	HTR5A	L	R
SLC18A1	HTR6	L	R
SLC18A1	HTR4	L	R
SLC18A2	HTR3A	L	R
SLC18A2	HTR3B	L	R
SLC18A2	HTR3C	L	R
SLC18A2	HTR3D	L	R
SLC18A2	HTR3E	L	R
SLC18A2	HTR1A	L	R
SLC18A2	HTR1D	L	R
SLC18A2	HTR1B	L	R
SLC18A2	HTR2A	L	R
SLC18A2	HTR2C	L	R
SLC18A2	HTR1E	L	R
SLC18A2	HTR1F	L	R
SLC18A2	HTR7	L	R
SLC18A2	HTR2B	L	R
SLC18A2	HTR5A	L	R
SLC18A2	HTR6	L	R
SLC18A2	HTR4	L	R
ALOX12	FPR2	L	R
ALOX12	CYSLTR1	L	R
SRD5A1	AR	L	R
CYP11B2	NR3C1	L	R
CYP11B2	NR3C2	L	R
HDC	HRH2	L	R
HDC	HRH1	L	R
HDC	HRH4	L	R
HDC	HRH3	L	R
GGT1	CYSLTR2	L	R
GGT1	CYSLTR1	L	R
GGT1	GPR17	L	R
GGT5	GPR17	L	R
GGT5	CYSLTR2	L	R
GGT5	CYSLTR1	L	R
CEL	RORA	L	R
CEL	RORC	L	R
DDC	HTR3E	L	R
DDC	HTR3B	L	R
DDC	HTR1A	L	R
DDC	DRD2	L	R
DDC	DRD1	L	R
DDC	DRD4	L	R
DDC	DRD5	L	R
DDC	HTR1D	L	R
DDC	HTR1B	L	R
DDC	HTR2A	L	R
DDC	HTR2C	L	R
DDC	HTR1E	L	R
DDC	HTR1F	L	R
DDC	HTR7	L	R
DDC	DRD3	L	R
DDC	HTR2B	L	R
DDC	HTR3A	L	R
DDC	HTR5A	L	R
DDC	HTR6	L	R
DDC	HTR4	L	R
DDC	HTR3D	L	R
DDC	HTR3C	L	R
SLC18A1	DRD2	L	R
SLC18A1	DRD1	L	R
SLC18A1	DRD4	L	R
SLC18A1	DRD5	L	R
SLC18A1	DRD3	L	R
SLC6A3	DRD2	L	R
SLC6A3	DRD1	L	R
SLC6A3	DRD4	L	R
SLC6A3	DRD5	L	R
SLC6A3	DRD3	L	R
SLC18A2	DRD2	L	R
SLC18A2	DRD1	L	R
SLC18A2	DRD4	L	R
SLC18A2	DRD5	L	R
SLC18A2	DRD3	L	R
NT5E	ADORA3	L	R
SLC29A2	ADORA3	L	R
NT5E	ADORA2A	L	R
SLC29A2	ADORA2A	L	R
NT5E	ADORA2B	L	R
SLC29A2	ADORA2B	L	R
NT5E	ADORA1	L	R
SLC29A2	ADORA1	L	R
SLC29A4	ADORA3	L	R
SLC29A4	ADORA2A	L	R
SLC29A4	ADORA2B	L	R
SLC29A4	ADORA1	L	R
SLC29A1	ADORA3	L	R
SLC29A1	ADORA2A	L	R
SLC29A1	ADORA2B	L	R
SLC29A1	ADORA1	L	R
SLC29A3	ADORA3	L	R
SLC29A3	ADORA2A	L	R
SLC29A3	ADORA2B	L	R
SLC29A3	ADORA1	L	R
TBXAS1	TBXA2R	L	R
CHAT	CHRNA3	L	R
CHAT	CHRNA5	L	R
CHAT	CHRNB2	L	R
CHAT	CHRNA4	L	R
CHAT	CHRNB4	L	R
CHAT	CHRNA6	L	R
CHAT	CHRNB3	L	R
CHAT	CHRNA2	L	R
CHAT	CHRNA1	L	R
CHAT	CHRM2	L	R
CHAT	CHRM4	L	R
CHAT	CHRM5	L	R
CHAT	CHRM1	L	R
CHAT	CHRM3	L	R
CHAT	CHRNA7	L	R
CHAT	CHRNB1	L	R
CHAT	CHRND	L	R
CHAT	CHRNG	L	R
SLC18A3	CHRNA1	L	R
SLC18A3	CHRNB1	L	R
SLC18A3	CHRND	L	R
SLC18A3	CHRNG	L	R
CHAT	CHRNE	L	R
SLC18A3	CHRNE	L	R
SLC18A3	CHRNA4	L	R
SLC18A3	CHRNB2	L	R
SLC18A3	CHRNA3	L	R
SLC18A3	CHRNB4	L	R
SLC18A3	CHRNA7	L	R
SLC18A3	CHRM2	L	R
SLC18A3	CHRM4	L	R
SLC18A3	CHRM5	L	R
SLC18A3	CHRM1	L	R
SLC18A3	CHRM3	L	R
SLC10A4	CHRNA1	L	R
SLC10A4	CHRNB1	L	R
SLC10A4	CHRND	L	R
SLC10A4	CHRNG	L	R
SLC10A4	CHRNE	L	R
